County,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020
Albany,12,23,36,43,61,88,123,127,146,152,171,187,195,205
Allegany,2,2,2,2,2,2,2,2,2,2,2,2,2,6
Broome,1,1,1,2,2,2,3,7,7,11,16,18,23,29
Cattaraugus,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,4
Cayuga,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,2,2,2,2,2,2
Chautauqua,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,5,5
Chemung,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,7,11,12,15
Chenango,#N/A,#N/A,1,2,2,2,3,3,3,3,3,4,8,15
Clinton,#N/A,1,1,2,2,4,4,6,6,10,11,11,12,13
Columbia,#N/A,#N/A,#N/A,#N/A,1,2,5,10,10,12,13,20,22,23
Cortland,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,2,2,2,2,4,5,6
Delaware,1,1,1,1,1,1,3,3,3,5,7,8,8,8
Dutchess,10,16,20,31,36,49,82,100,124,153,190,225,262,320
Erie,6,7,7,28,31,38,54,87,107,122,134,219,318,358
Essex,#N/A,#N/A,1,1,1,2,3,3,3,4,4,4,4,4
Franklin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,2,4,6
Fulton,#N/A,#N/A,#N/A,1,1,1,1,1,1,1,1,1,1,1
Genesee,#N/A,#N/A,#N/A,1,1,1,1,1,1,2,4,6,7,9
Greene,2,2,2,2,2,2,2,4,4,4,5,6,7,7
Hamilton,#N/A,#N/A,1,2,2,2,2,2,2,2,2,2,2,2
Herkimer,1,1,1,1,2,3,4,4,4,5,7,9,9,10
Jefferson,#N/A,#N/A,#N/A,1,1,1,1,2,2,2,3,3,6,7
Lewis,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2
Livingston,#N/A,#N/A,#N/A,#N/A,1,2,2,3,3,3,3,3,5,10
Madison,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,4,4,7,9,17,19,24
Monroe,10,10,14,27,32,42,57,76,96,118,139,160,192,219
Montgomery,1,1,2,2,2,3,3,3,3,4,5,5,5,6
Nassau,109,131,183,372,754,1234,1900,2442,2869,3285,3914,4657,5537,6445
Niagara,#N/A,#N/A,#N/A,1,3,4,6,10,10,12,14,23,33,38
New York City,463,644,1339,2469,4408,6211,9045,12305,14904,17856,21393,25398,29766,33768
Oneida,#N/A,#N/A,#N/A,2,2,4,5,7,7,9,13,13,23,26
Onondaga,1,2,2,5,8,17,29,52,52,65,83,115,129,152
Ontario,1,1,1,1,3,4,6,6,6,9,11,14,16,18
Orange,11,15,32,51,84,163,247,389,498,638,751,910,1101,1247
Orleans,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,3,3,3
Oswego,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,2,4,4,7,8
Otsego,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,2,3,5,7,10
Putnam,2,2,2,5,7,22,37,45,45,84,94,111,131,144
Rensselaer,#N/A,1,4,6,8,20,26,29,29,31,32,35,38,39
Rockland,16,22,30,53,101,262,455,592,671,968,1197,1457,1896,2209
Saratoga,5,9,14,18,24,35,41,53,53,64,73,82,96,102
Schenectady,4,5,14,18,21,32,39,44,44,55,62,66,72,76
Schoharie,#N/A,#N/A,#N/A,1,1,1,1,1,1,2,2,3,5,5
Schuyler,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1
St. Lawrence,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,2,3,8,12
Steuben,#N/A,#N/A,#N/A,#N/A,#N/A,2,3,4,4,8,11,12,13,17
Suffolk,63,84,116,178,371,662,1034,1458,1880,2260,2735,3385,4138,5023
Sullivan,#N/A,1,1,3,8,12,16,23,23,39,53,64,72,88
Tioga,1,1,1,1,1,1,1,1,1,1,2,2,4,4
Tompkins,1,2,3,6,7,11,13,15,15,16,22,26,45,52
Ulster,7,8,9,10,12,18,26,35,35,65,78,98,128,146
Warren,#N/A,#N/A,1,1,1,1,1,2,2,2,2,8,13,18
Washington,#N/A,#N/A,1,1,1,1,1,3,3,4,4,6,6,7
Wayne,#N/A,#N/A,#N/A,1,1,3,3,6,6,7,8,11,12,12
Westchester,220,380,538,798,1091,1387,1873,2894,3891,4691,5944,7187,7875,8519
Wyoming,#N/A,1,1,2,2,2,2,4,4,4,7,7,7,8
